json_category_keys,full_category_name
"[""Security"", ""Officer""]",Security Officer
"[""Sheet"", ""Metal"", ""Worker""]",Sheet Metal Worker
"[""Sign"", ""Language"", ""Interpreter""]",Sign Language Interpreter
"[""Social"", ""Media"", ""Manager""]",Social Media Manager
"[""Social"", ""Worker""]",Social Worker
"[""Software"", ""Developer""]",Software Developer
"[""Software"", ""Engineer""]",Software Engineer 
"[""Software"", ""Tester""]",Software Tester
"[""Solution"", ""Architect""]",Solution Architect
"[""Sound"", ""Designer""]",Sound Designer 
"[""Sound"", ""Engineer""]",Sound Engineer
"[""Spanish"", ""Teacher""]",Spanish Teacher
"[""Special"", ""Education"", ""Teacher""]",Special Education Teacher
"[""Statistician""]",Statistician
"[""Stay"", ""At"", ""Home"", ""Mom""]",Stay At Home Mom
"[""Store"", ""Manager""]",Store Manager
"[""Structural"", ""Engineer""]",Structural Engineer
"[""Supply"", ""Chain"", ""Manager""]",Supply Chain Manager
"[""Surgical"", ""Technologist""]",Surgical Technologist
"[""System"", ""Engineer""]",System Engineer
"[""Tanker"", ""Driver""]",Tanker Driver
"[""Teacher""]",Teacher
"[""Teaching"", ""Assistant""]",Teaching Assistant
"[""Technical"", ""Director""]",Technical Director
"[""Technical"", ""Project"", ""Manager""]",Technical Project Manager
"[""Technical"", ""Sales"", ""Engineer""]",Technical Sales Engineer
"[""Technical"", ""Support"", ""Specialist""]",Technical Support Specialist
"[""Technical"", ""Writer""]",Technical Writer
"[""Technician""]",Technician
"[""Telecommunications"", ""Technician""]",Telecommunications Technician
"[""Telehealth"", ""Nursing""]",Telehealth Nursing 
"[""Telephone"", ""Triage"", ""Nurse""]",Telephone Triage Nurse 
"[""Territory"", ""Sales"", ""Manager""]",Territory Sales Manager
"[""Test"", ""Engineer""]",Test Engineer
"[""Tile"", ""Setter""]",Tile Setter
"[""Title"", ""Examiner""]",Title Examiner
"[""Tooling"", ""Engineer""]",Tooling Engineer
"[""Tour"", ""Guide""]",Tour Guide
"[""Tow"", ""Truck"", ""Driver""]",Tow Truck Driver
"[""Tower"", ""Climber""]",Tower Climber
"[""Training"", ""Consultant""]",Training Consultant
"[""Training"", ""Coordinator""]",Training Coordinator
"[""Translator""]",Translator
"[""Transportation"", ""Manager""]",Transportation Manager
"[""Travel"", ""Agent""]",Travel Agent
"[""Treasury"", ""Manager""]",Treasury Manager
"[""Truck"", ""Driver""]",Truck Driver
"[""Tutor""]",Tutor
"[""Uav"", ""Operator""]",Uav Operator
"[""Ultrasound"", ""Technician""]",Ultrasound Technician
"[""Ultrasound"", ""Technologist""]",Ultrasound Technologist
"[""Umpire""]",Umpire
"[""Underground"", ""Miner""]",Underground Miner
"[""Underwriter""]",Underwriter
"[""Underwriter"", ""Trainee""]",Underwriter Trainee
"[""Underwriting"", ""Assistant""]",Underwriting Assistant
"[""Underwriting"", ""Manager""]",Underwriting Manager
"[""Union"", ""Electrician""]",Union Electrician 
"[""Unit"", ""Clerk""]",Unit Clerk
"[""Unit"", ""Secretary""]",Unit Secretary
"[""Universal"", ""Banker""]",Universal Banker
"[""Upholsterer""]",Upholsterer
"[""Urban"", ""Designer""]",Urban Designer 
"[""Urban"", ""Planner""]",Urban Planner
"[""User"", ""Experience"", ""Architect""]",User Experience Architect
"[""User"", ""Experience"", ""Designer""]",User Experience Designer
"[""User"", ""Experience"", ""Director""]",User Experience Director
"[""User"", ""Experience"", ""Manager""]",User Experience Manager
"[""User"", ""Experience"", ""Researcher""]",User Experience Researcher
"[""User"", ""Experience"", ""Specialist""]",User Experience Specialist
"[""User"", ""Interface"", ""Designer""]",User Interface Designer
"[""Usher""]",Usher
"[""Utilities"", ""Engineer""]",Utilities Engineer
"[""Utility"", ""Locator""]",Utility Locator
"[""Utility"", ""Worker""]",Utility Worker
"[""Validation"", ""Engineer""]",Validation Engineer
"[""Vascular"", ""Technologist""]",Vascular Technologist
"[""Vehicle"", ""Inspector""]",Vehicle Inspector 
"[""Verification"", ""Engineer""]",Verification Engineer
"[""Veterinarian""]",Veterinarian
"[""Veterinary""]",Veterinary
"[""Veterinary"", ""Assistant""]",Veterinary Assistant
"[""Veterinary"", ""Pharmacist""]",Veterinary Pharmacist 
"[""Veterinary"", ""Receptionist""]",Veterinary Receptionist
"[""Veterinary"", ""Technician""]",Veterinary Technician
"[""Vice"", ""President"", ""Creative""]",Vice President Creative 
"[""Vice"", ""President"", ""Healthcare"", ""Administration""]",Vice President Healthcare Administration 
"[""Vice"", ""President"", ""Human"", ""Resources""]",Vice President Human Resources
"[""Vice"", ""President"", ""Of"", ""Human"", ""Resources""]",Vice President Of Human Resources
"[""Vice"", ""President"", ""Of"", ""Operations""]",Vice President Of Operations
"[""Victim"", ""Advocate""]",Victim Advocate
"[""Video"", ""Editor""]",Video Editor
"[""Video"", ""Game"", ""Tester""]",Video Game Tester
"[""Videographer""]",Videographer
"[""Virtual"", ""Assistant""]",Virtual Assistant
"[""Virtual"", ""Human"", ""Resources""]",Virtual Human Resources 
"[""Virtual"", ""Teacher""]",Virtual Teacher
"[""Visual"", ""Merchandiser""]",Visual Merchandiser
"[""Vocational"", ""Rehabilitation"", ""Counselor""]",Vocational Rehabilitation Counselor
"[""Volunteer"", ""Coordinator""]",Volunteer Coordinator
"[""VP"", ""Of"", ""Engineering""]",VP Of Engineering
"[""VP"", ""Of"", ""Finance""]",VP Of Finance
"[""VP"", ""Of"", ""Information"", ""Technology""]",VP Of Information Technology
"[""Waitress""]",Waitress
"[""Warehouse"", ""Administrator""]",Warehouse Administrator
"[""Warehouse"", ""Associate""]",Warehouse Associate
"[""Warehouse"", ""Operations"", ""Manager""]",Warehouse Operations Manager
"[""Warehouse"", ""Supervisor""]",Warehouse Supervisor
"[""Warehousing"", ""Forklift"", ""Operator""]",Warehousing Forklift Operator
"[""Water"", ""Treatment"", ""Plant"", ""Operator""]",Water Treatment Plant Operator
"[""Weapons"", ""Specialist""]",Weapons Specialist 
"[""Web"", ""Analyst""]",Web Analyst
"[""Web"", ""Content"", ""Manager""]",Web Content Manager
"[""Web"", ""Designer""]",Web Designer
"[""Web"", ""Developer""]",Web Developer
"[""Web"", ""Editor""]",Web Editor
"[""Web"", ""Marketing"", ""Specialist""]",Web Marketing Specialist
"[""Webmaster""]",Webmaster
"[""Wedding"", ""Coordinator""]",Wedding Coordinator
"[""Wedding"", ""Planner""]",Wedding Planner
"[""Welder""]",Welder
"[""Welder"", ""Fabricator""]",Welder Fabricator
"[""Welding"", ""Engineer""]",Welding Engineer
"[""Wellness"", ""Coach""]",Wellness Coach
"[""Wellness"", ""Coordinator""]",Wellness Coordinator
"[""Wind"", ""Turbine"", ""Technician""]",Wind Turbine Technician
"[""Windows"", ""Administrator""]",Windows Administrator
"[""Windows"", ""System"", ""Administrator""]",Windows System Administrator
"[""Wire"", ""Harness"", ""Assembler""]",Wire Harness Assembler
"[""Wireless"", ""Engineer""]",Wireless Engineer
"[""Woodworkers""]",Woodworkers
"[""Worship"", ""Leader""]",Worship Leader
"[""Wound"", ""Care"", ""Nurse""]",Wound Care Nurse 
"[""X"", ""Ray"", ""Technician""]",X Ray Technician 
"[""Xerox"", ""Operator""]",Xerox Operator
"[""Yacht"", ""Broker""]",Yacht Broker
"[""Yard"", ""Driver""]",Yard Driver
"[""Yard"", ""Jockey""]",Yard Jockey
"[""Yard"", ""Manager""]",Yard Manager
"[""Yard"", ""Supervisor""]",Yard Supervisor
"[""Yard"", ""Worker""]",Yard Worker
"[""Yardmaster""]",Yardmaster
"[""Yield"", ""Engineer""]",Yield Engineer
"[""Yoga"", ""Instructor""]",Yoga Instructor
"[""Youth"", ""Advocate""]",Youth Advocate
"[""Youth"", ""Care"", ""Worker""]",Youth Care Worker
"[""Youth"", ""Counselor""]",Youth Counselor
"[""Youth"", ""Development"", ""Specialist""]",Youth Development Specialist
"[""Youth"", ""Leader""]",Youth Leader
"[""Youth"", ""Ministry""]",Youth Ministry
"[""Youth"", ""Pastor""]",Youth Pastor
"[""Youth"", ""Program"", ""Coordinator""]",Youth Program Coordinator
"[""Youth"", ""Program"", ""Director""]",Youth Program Director
"[""Youth"", ""Programs"", ""Social"", ""Worker""]",Youth Programs Social Worker
"[""Youth"", ""Services"", ""Coordinator""]",Youth Services Coordinator
"[""Youth"", ""Worker""]",Youth Worker
"[""Zamboni"", ""Driver""]",Zamboni Driver
"[""Zoo"", ""Keeper""]",Zoo Keeper
"[""Zoo"", ""Veterinarian""]",Zoo Veterinarian
